Product_Collection,Vertical_Segment,Status,Launch_Date,Lithography,Recommended_Customer_Price,nb_of_Cores,nb_of_Threads,Processor_Base_Frequency,Instruction_Set,TDP,Max_Memory_Size,Max_nb_of_Memory_Channels,Max_Memory_Bandwidth,Cache_Size,Cache_Type
Legacy,Desktop,End of Interactive Support,2008,45.0,555.0,4,8.0,2930,64-bit,130.0,24.0,3.0,25.6,8.0,SmartCache
Legacy,Desktop,End of Interactive Support,2008,45.0,305.0,4,8.0,2660,64-bit,130.0,24.0,3.0,25.6,8.0,SmartCache
Legacy,Desktop,End of Interactive Support,2008,45.0,990.0,4,8.0,3200,64-bit,130.0,24.0,3.0,25.6,8.0,SmartCache
Legacy,Desktop,End of Interactive Support,2009,45.0,203.0,4,4.0,2660,64-bit,95.0,16.0,2.0,21.0,8.0,SmartCache
Legacy,Desktop,End of Interactive Support,2009,45.0,305.0,4,8.0,2930,64-bit,95.0,16.0,2.0,21.0,8.0,SmartCache
Legacy,Desktop,End of Interactive Support,2009,45.0,305.0,4,8.0,3060,64-bit,130.0,24.0,3.0,25.6,8.0,SmartCache
Legacy,Desktop,End of Interactive Support,2009,45.0,305.0,4,8.0,3200,64-bit,130.0,24.0,3.0,25.6,8.0,SmartCache
Legacy,Desktop,End of Interactive Support,2009,45.0,281.0,4,8.0,2800,64-bit,95.0,16.0,2.0,21.0,8.0,SmartCache
Legacy,Desktop,End of Interactive Support,2009,45.0,1059.0,4,8.0,3330,64-bit,130.0,24.0,3.0,25.6,8.0,SmartCache
Legacy,Embedded,Launched,2009,45.0,403.0,2,4.0,2000,64-bit,38.0,144.0,3.0,25.6,8.0,SmartCache
Legacy,Embedded,Launched,2009,45.0,504.0,4,8.0,2130,64-bit,60.0,144.0,3.0,25.6,8.0,SmartCache
Legacy,Mobile,End of Interactive Support,2009,45.0,380.0,4,8.0,1600,64-bit,45.0,8.0,2.0,21.0,6.0,SmartCache
Legacy,Mobile,End of Interactive Support,2009,45.0,380.0,4,8.0,1730,64-bit,45.0,8.0,2.0,21.0,8.0,SmartCache
Legacy,Mobile,End of Interactive Support,2009,45.0,380.0,4,8.0,2000,64-bit,55.0,8.0,2.0,21.0,8.0,SmartCache
Legacy,Server,Launched,2009,45.0,380.0,2,2.0,1860,64-bit,80.0,144.0,3.0,19.2,4.0,SmartCache
Legacy,Server,Launched,2009,45.0,221.0,4,4.0,2000,64-bit,80.0,144.0,3.0,19.2,4.0,SmartCache
Legacy,Server,Launched,2009,45.0,221.0,4,4.0,2130,64-bit,80.0,144.0,3.0,19.2,4.0,SmartCache
Legacy,Server,Launched,2009,45.0,221.0,4,8.0,2260,64-bit,80.0,144.0,3.0,25.6,8.0,SmartCache
Legacy,Server,Launched,2009,45.0,221.0,4,8.0,2400,64-bit,80.0,144.0,3.0,25.6,8.0,SmartCache
Legacy,Server,Launched,2009,45.0,940.0,4,8.0,2530,64-bit,80.0,144.0,3.0,25.6,8.0,SmartCache
Legacy,Server,Launched,2009,45.0,940.0,4,4.0,2130,64-bit,60.0,144.0,3.0,19.2,4.0,SmartCache
Legacy,Server,End of Life,2009,45.0,305.0,4,8.0,1860,64-bit,45.0,32.0,2.0,21.0,8.0,SmartCache
Legacy,Server,Launched,2009,45.0,305.0,4,8.0,2260,64-bit,60.0,144.0,3.0,25.6,8.0,SmartCache
Legacy,Server,End of Life,2009,45.0,305.0,4,8.0,2660,64-bit,130.0,24.0,3.0,25.6,8.0,SmartCache
Legacy,Server,Launched,2009,45.0,213.5,4,4.0,2400,64-bit,95.0,32.0,2.0,21.0,8.0,SmartCache
Legacy,Server,Launched,2009,45.0,213.5,4,8.0,2400,64-bit,60.0,144.0,3.0,25.6,8.0,SmartCache
Legacy,Server,End of Life,2009,45.0,230.0,4,8.0,2530,64-bit,95.0,32.0,2.0,21.0,8.0,SmartCache
Legacy,Server,End of Life,2009,45.0,594.0,4,8.0,2930,64-bit,130.0,24.0,3.0,25.6,8.0,SmartCache
Legacy,Server,Launched,2009,45.0,594.0,4,8.0,3200,64-bit,130.0,144.0,3.0,32.0,8.0,SmartCache
Legacy,Server,Launched,2009,45.0,249.0,4,8.0,2660,64-bit,95.0,32.0,2.0,21.0,8.0,SmartCache
Legacy,Server,Launched,2009,45.0,249.0,4,8.0,3330,64-bit,130.0,144.0,3.0,32.0,8.0,SmartCache
Legacy,Server,End of Life,2009,45.0,305.0,4,8.0,3060,64-bit,130.0,24.0,3.0,25.6,8.0,SmartCache
Legacy,Server,End of Life,2009,45.0,333.5,4,8.0,2800,64-bit,95.0,32.0,2.0,21.0,8.0,SmartCache
Legacy,Server,End of Life,2009,45.0,305.0,4,8.0,3200,64-bit,130.0,24.0,3.0,25.6,8.0,SmartCache
Legacy,Server,Launched,2009,45.0,305.0,4,8.0,2660,64-bit,95.0,144.0,3.0,32.0,8.0,SmartCache
Legacy,Server,End of Life,2009,45.0,339.0,4,8.0,2930,64-bit,95.0,32.0,2.0,21.0,8.0,SmartCache
Legacy,Server,End of Life,2009,45.0,1059.0,4,8.0,3200,64-bit,130.0,24.0,3.0,32.0,8.0,SmartCache
Legacy,Server,Launched,2009,45.0,1059.0,4,8.0,2800,64-bit,95.0,144.0,3.0,32.0,8.0,SmartCache
Legacy,Server,End of Life,2009,45.0,1059.0,4,8.0,3330,64-bit,130.0,24.0,3.0,32.0,8.0,SmartCache
Legacy,Server,Launched,2009,45.0,1059.0,4,8.0,2930,64-bit,95.0,144.0,3.0,32.0,8.0,SmartCache
Legacy,Desktop,End of Interactive Support,2010,32.0,86.5,2,2.0,2800,64-bit,73.0,16.38,2.0,17.0,3.0,SmartCache
Legacy,Desktop,End of Interactive Support,2010,45.0,43.0,1,2.0,1660,64-bit,10.0,4.0,1.0,6.4,0.5,L2
Legacy,Desktop,End of Interactive Support,2010,45.0,63.0,2,4.0,1660,64-bit,13.0,4.0,1.0,6.4,1.0,L2
Legacy,Desktop,End of Interactive Support,2010,45.0,63.0,2,4.0,1800,64-bit,13.0,4.0,1.0,6.4,1.0,L2
Legacy,Desktop,End of Interactive Support,2010,45.0,42.0,1,2.0,1800,64-bit,10.0,4.0,1.0,6.4,0.5,L2
Legacy,Desktop,End of Interactive Support,2010,32.0,117.0,2,4.0,2930,64-bit,73.0,16.38,2.0,21.0,4.0,SmartCache
Legacy,Desktop,End of Interactive Support,2010,32.0,113.0,2,4.0,3060,64-bit,73.0,16.38,2.0,21.0,4.0,SmartCache
Legacy,Desktop,End of Interactive Support,2010,32.0,117.0,2,4.0,3200,64-bit,73.0,16.38,2.0,21.0,4.0,SmartCache
Legacy,Desktop,End of Interactive Support,2010,32.0,177.0,2,4.0,3200,64-bit,73.0,16.38,2.0,21.0,4.0,SmartCache
